country,frequency
Norway,1156
Japan,6566
Sri Lanka,189
Belarus,552
Germany,13965
Central African Republic,89
Egypt,204
Romania,3313
Saint Vincent and the Grenadines,25
Saint Pierre and Miquelon,8
Virgin Islands (British),24
Falkland Islands (Malvinas),7
Jordan,190
Ghana,67
Jersey,23
Dominica,5
Congo,4
Norfolk Island,19
Portugal,1512
Haiti,27
Djibouti,27
Guadeloupe,5
Sweden,1801
Tonga,177
Dominican Republic,99
Iran (Islamic Republic of),354
Viet Nam,412
European Union,2457
Angola,57
Tunisia,282
Russian Federation,24961
United Arab Emirates,932
Nepal,91
Libya,51
Botswana,56
Albania,55
Switzerland,2963
Saint Helena Ascension and Tristan da Cunha,25
Mayotte,4
Chad,3
Guatemala,149
Bangladesh,67
British Indian Ocean Territory,69
Cuba,295
Croatia,241
Kiribati,7
Gabon,93
Cocos (Keeling) Islands,3720
Malaysia,1241
Armenia,126
Tanzania United Republic of,61
Denmark,2851
Guernsey,45
Iceland,144
Puerto Rico,34
Madagascar,32
Maldives,68
Guam,5
Turkmenistan,29
Sint Maarten (Dutch part),5
Somalia,36
Uzbekistan,116
Solomon Islands,9
Ukraine,4442
Jamaica,30
Ecuador,240
Philippines,539
Barbados,32
Zambia,61
Sudan,63
Togo,12
Mexico,4116
South Africa,7618
Kenya,212
Kyrgyzstan,55
Poland,7079
Namibia,110
French Polynesia,9
Indonesia,1599
Palestine State of,48
Côte d'Ivoire,91
Uganda,85
Sao Tome and Principe,55
Costa Rica,183
Brunei Darussalam,19
Hong Kong,1561
Guinea,2
Faroe Islands,21
Kazakhstan,530
Eritrea,44
Latvia,397
Northern Mariana Islands,7
Belize,115
Bolivia (Plurinational State of),97
Italy,7541
Morocco,480
Syrian Arab Republic,22
Honduras,35
Paraguay,122
Antarctica,1
Venezuela (Bolivarian Republic of),290
Korea (Republic of),861
Malta,86
Uruguay,276
Greece,994
Benin,8
Holy See,8
Argentina,3387
New Caledonia,35
Qatar,131
Ascension Island,56
Antigua and Barbuda,27
Papua New Guinea,64
Serbia,183
United Kingdom,39588
Luxembourg,177
Virgin Islands (U.S.),9
Seychelles,24
San Marino,10
Bermuda,50
South Sudan,45
Vanuatu,96
Brazil,10727
Lesotho,9
Thailand,767
Lebanon,99
Isle of Man,81
Peru,689
Comoros,4
Myanmar,24
Slovenia,108
Gambia,16
Rwanda,28
India,6107
American Samoa,130
Slovakia,928
United States Minor Outlying Islands,3
French Southern Territories,35
Gibraltar,20
France,7501
Spain,5254
Cook Islands,13
Mauritania,23
Réunion,71
Lao People's Democratic Republic,93
Moldova (Republic of),153
Heard Island and McDonald Islands,13
Grenada,9
Congo (the Democratic Republic of the),44
Canada,6483
Montenegro,689
Mongolia,45
Austria,1335
Australia,17344
Guinea-Bissau,1
Tokelau,2561
Senegal,118
Mozambique,140
Svalbard and Jan Mayen,3
Saint Lucia,8
Bhutan,11
Guyana,10
Nicaragua,65
Timor-Leste,15
Singapore,922
Greenland,20
Chile,2115
Sierra Leone,12
Western Sahara,1
Ireland,1187
Ethiopia,77
Belgium,1782
Montserrat,109
Equatorial Guinea,40
Oman,324
Martinique,2
Finland,413
Monaco,25
Cambodia,35
Tajikistan,14
Kuwait,85
French Guiana,15
Algeria,98
Liberia,15
Niue,307
Cameroon,258
Tuvalu,1115
Christmas Island,137
Cyprus,99
Georgia,205
Andorra,68
Curaçao,6
Bosnia and Herzegovina,189
Zimbabwe,216
Azerbaijan,154
Nigeria,145
Czechia,2094
Samoa,728
Burundi,4
Bulgaria,206
Cayman Islands,34
Netherlands,5209
Wallis and Futuna,3
Afghanistan,41
Estonia,264
New Zealand,2354
Anguilla,20
Mauritius,102
Bahamas,17
Korea (Democratic People's Republic of),1
China,3922
Malawi,23
Mali,137
South Georgia and the South Sandwich Islands,31
Israel,876
Niger,217
Global,540613
Nauru,20
Saudi Arabia,658
Fiji,55
Trinidad and Tobago,94
Liechtenstein,96
Saint Kitts and Nevis,3
United States of America,6631
Bahrain,105
Lithuania,489
Turks and Caicos Islands,138
Burkina Faso,14
Panama,71
Yemen,16
Aruba,9
Palau,107
Colombia,2761
Pakistan,806
Türkiye,1329
Pitcairn,32
Hungary,1697
Taiwan,2628
El Salvador,259
Iraq,7
Micronesia (Federated States of),119
North Macedonia,72
Soviet Union,506
Suriname,12
Eswatini,22
Cabo Verde,37
Macao,20
