country,frequency
Tajikistan,19
Kyrgyzstan,56
Korea (Republic of),1961
Luxembourg,394
United Arab Emirates,1294
Lithuania,913
Saint Lucia,10
Lao People's Democratic Republic,133
Qatar,121
Antarctica,3
Sao Tome and Principe,72
Eswatini,47
Philippines,378
Palestine State of,59
Maldives,46
Nepal,197
Albania,38
Gibraltar,28
Saint Vincent and the Grenadines,23
El Salvador,101
Togo,13
Belarus,906
Moldova (Republic of),199
Serbia,523
Congo (the Democratic Republic of the),35
Virgin Islands (U.S.),8
Heard Island and McDonald Islands,8
Soviet Union,526
Puerto Rico,21
Ecuador,189
Armenia,143
France,10342
Bosnia and Herzegovina,309
Iraq,6
Sweden,3515
Korea (Democratic People's Republic of),8
Latvia,864
Cyprus,89
Singapore,1640
Aruba,10
Greenland,16
American Samoa,129
Gambia,17
Cameroon,282
Belgium,3749
Djibouti,25
Malta,71
Martinique,1
Zambia,52
Somalia,98
Botswana,92
Egypt,226
Nauru,9
European Union,2716
Costa Rica,100
Namibia,110
Greece,1310
Turks and Caicos Islands,78
Guinea,1
French Polynesia,35
Ethiopia,66
Dominica,6
Cuba,170
Guernsey,51
Guyana,8
Romania,1771
Åland Islands,4
Mongolia,50
Argentina,2596
Afghanistan,42
Anguilla,21
Guinea-Bissau,3
Malaysia,1758
Gabon,31
French Guiana,25
Angola,47
Falkland Islands (Malvinas),7
Oman,375
Guam,10
Paraguay,127
Kuwait,82
Nigeria,81
Sierra Leone,7
Papua New Guinea,61
Australia,16312
Saudi Arabia,629
Jersey,21
Malawi,15
Cabo Verde,36
Montenegro,551
Norfolk Island,17
Côte d'Ivoire,72
Ascension Island,68
United States of America,5434
Burundi,14
Niue,479
Mauritius,117
Iran (Islamic Republic of),419
Senegal,69
Ghana,89
North Macedonia,174
French Southern Territories,13
Curaçao,6
Tunisia,386
Bhutan,22
Mayotte,7
Norway,1027
Lesotho,37
Estonia,408
Montserrat,86
Bouvet Island,4
Nicaragua,55
Dominican Republic,49
New Caledonia,35
Cocos (Keeling) Islands,1717
Antigua and Barbuda,43
China,6584
Mali,73
Indonesia,1461
Venezuela (Bolivarian Republic of),153
Zimbabwe,201
Liberia,10
Finland,2962
Cambodia,109
Global,546584
Sudan,82
Ukraine,6990
Brunei Darussalam,32
Burkina Faso,20
Pitcairn,38
Panama,33
Barbados,17
Georgia,157
Croatia,733
Seychelles,57
Vanuatu,55
Bahrain,90
Uganda,99
Central African Republic,52
Liechtenstein,93
Fiji,156
Niger,217
Turkmenistan,26
Equatorial Guinea,32
Uruguay,184
Canada,6825
Guadeloupe,3
Italy,17723
Bermuda,38
Russian Federation,37978
Hong Kong,1614
Viet Nam,621
Sri Lanka,485
Yemen,12
Macao,41
Réunion,109
Portugal,1986
Poland,5155
Guatemala,120
New Zealand,3148
Taiwan,4681
Slovenia,576
Mauritania,14
Bangladesh,121
Slovakia,1479
Bulgaria,304
Honduras,34
Algeria,105
Spain,4393
Monaco,24
Micronesia (Federated States of),159
Faroe Islands,25
Tanzania United Republic of,71
Ireland,1675
Czechia,3640
Bahamas,13
Brazil,11602
Bolivia (Plurinational State of),82
Uzbekistan,121
Suriname,18
Benin,6
Colombia,2910
Peru,289
Kenya,299
Christmas Island,102
Grenada,11
Cayman Islands,41
Tuvalu,1081
Holy See,14
Libya,41
Comoros,5
Austria,2544
United States Minor Outlying Islands,5
Türkiye,4196
Solomon Islands,9
Tonga,217
Tokelau,1415
Azerbaijan,243
Jamaica,29
Isle of Man,71
Iceland,245
Wallis and Futuna,2
Kazakhstan,579
Thailand,1697
Haiti,12
Sint Maarten (Dutch part),2
San Marino,28
Northern Mariana Islands,15
Cook Islands,11
Western Sahara,1
Trinidad and Tobago,48
Myanmar,24
Madagascar,50
Japan,19508
Belize,126
Jordan,242
Morocco,417
Switzerland,4661
Pakistan,918
Congo,6
Saint Kitts and Nevis,5
Timor-Leste,11
South Georgia and the South Sandwich Islands,21
Kiribati,11
Saint Pierre and Miquelon,21
India,10937
Rwanda,19
Virgin Islands (British),20
Netherlands,6086
United Kingdom,56234
Palau,92
Mexico,2991
Saint Helena Ascension and Tristan da Cunha,28
Samoa,513
Hungary,1983
Syrian Arab Republic,26
Denmark,3273
Eritrea,39
Andorra,49
British Indian Ocean Territory,52
Chile,1649
South Sudan,28
Germany,27121
Israel,993
Mozambique,120
Lebanon,130
South Africa,8332
