HSS,Case Sensitive Calculation,Case Insensitive Calculation
0,395656323,307731723
0.0001-0.0500,163481779,151968935
0.0501-0.1000,298551477,278766712
0.1001-0.1500,352394316,348215780
0.1501-0.2000,361746144,369308116
0.2001-0.2500,323499716,335057001
0.2501-0.3000,275099666,287280384
0.3001-0.3500,222228157,231832311
0.3501-0.4000,177527989,184559043
0.4001-0.4500,145493041,150147325
0.4501-0.5000,131111049,133700725
0.5001-0.5500,131197515,134908380
0.5501-0.6000,136772076,141870541
0.6001-0.6500,150793961,155791295
0.6501-0.7000,165239926,169540812
0.7001-0.7500,171803486,176742320
0.7501-0.8000,148834063,153828163
0.8001-0.8500,131715673,137241762
0.8501-0.9000,105585494,109486798
0.9001-0.9500,86079611,99627839
0.9501-0.9999,14221318,21424140
1,0,10002675
